,sentence,span,propaganda
12824,"“One also felt that, in these events of May,” Marty continued, “the seriousness of the working class, which wants not only to earn a living wage, but also to find its freedom, its independence.” Theaggiornamentistas was never purged from the Church, and certainly not from the seminaries.
","“One also felt that, in these events of May,” Marty continued, “the seriousness of the working class, which wants not only to earn a living wage, but also to find its freedom, its independence.” Theaggiornamentistas was never purged from the Church, and certainly not from the seminaries.
",0
12825,"As the modern world continued to reject traditional Christian mores, so too does the Church seem increasingly “out of step” and in need of “modernizing”.
","As the modern world continued to reject traditional Christian mores, so too does the Church seem increasingly “out of step” and in need of “modernizing”.
",0
12826,"Inevitably, this came to mean the acceptance of homosexuality.
","Inevitably, this came to mean the acceptance of homosexuality.
",0
12827,"Bishop Wilton D. Gregory, as president of the U.S. Conference of Catholic Bishops, infamously spoke of “an ongoing struggle to make sure that the Catholic priesthood is not dominated by homosexual men.”
","Bishop Wilton D. Gregory, as president of the U.S. Conference of Catholic Bishops, infamously spoke of “an ongoing struggle to make sure that the Catholic priesthood is not dominated by homosexual men.”
",0
12828,"But that predominance has very little to do with homosexuality per se.
","But that predominance has very little to do with homosexuality per se.
",0
12829,"Rather, the 1960s rejection of celibacy in the seminaries naturally provided more (shall we say) opportunities for gay men – given that there are, of course, no women in Catholic seminaries.
","Rather, the 1960s rejection of celibacy in the seminaries naturally provided more (shall we say) opportunities for gay men – given that there are, of course, no women in Catholic seminaries.
",0
12830,"This began driving away heterosexuals, as well as homosexuals who upheld the Church’s teachings on chastity and celibacy.
","This began driving away heterosexuals, as well as homosexuals who upheld the Church’s teachings on chastity and celibacy.
",0
12831,"Needless to say, not all gay priests are violent predators like McCarrick.
",violent predators,1
12832,"But the toleration of sexually active priests gave McCarrick cover to “seduce” his victims.
","But the toleration of sexually active priests gave McCarrick cover to “seduce” his victims.
",0
12833,"Many have also speculated that, because McCarrick’s victims were overwhelmingly above the age of consent, the media didn’t consider them newsworthy.
","Many have also speculated that, because McCarrick’s victims were overwhelmingly above the age of consent, the media didn’t consider them newsworthy.
",0
12834,"If he’d fondled a 12-year old altar boy, that would have been one thing.
","If he’d fondled a 12-year old altar boy, that would have been one thing.
",0
12835,"Pedophile priests sell papers.
",Pedophile priests sell papers,1
12836,"But taking an 18-year-old seminarian to bed?
","But taking an 18-year-old seminarian to bed?
",0
12837,"Running that story would simply be outing a closeted gay man: an act the liberal press would no doubt consider “homophobic”, as Ross Douthat pointed out.
",closeted gay man,1
12838,"Meanwhile, those bishops who didn’t approve of his actions knew the culture – both within the Church and without her – were against them.
","Meanwhile, those bishops who didn’t approve of his actions knew the culture – both within the Church and without her – were against them.
",0
12839,"The post-Vatican Church doesn’t like to come off as a nag.
","The post-Vatican Church doesn’t like to come off as a nag.
",0
12840,"She’s not going to cause a fuss by purging sexually active gay men from the clergy just because… what?
","She’s not going to cause a fuss by purging sexually active gay men from the clergy just because… what?
",0
12841,"It’s immoral?
","It’s immoral?
",0
12842,"That’s not very aggiornamentistic!
","That’s not very aggiornamentistic!
",0
12843,"The world and our worldly bishops were, unsurprisingly, of one mind.
","The world and our worldly bishops were, unsurprisingly, of one mind.
",0
12844,"And even if they were disgusted by McCarrick, these prelates weren’t willing to jeopardize their careers by standing for justice against vice.
","And even if they were disgusted by McCarrick, these prelates weren’t willing to jeopardize their careers by standing for justice against vice.
",0
12845,"We seem to be slouching back to the old traditionalist trope: All the Church’s problems would be solved if we’d just go back to the Latin Mass.
","We seem to be slouching back to the old traditionalist trope: All the Church’s problems would be solved if we’d just go back to the Latin Mass.
",0
12846,"Something went critically wrong during Vatican II that extends well beyond the Mass.
",critically wrong,1
12847,"And we can’t drag the Church out of her present crisis until we have the courage to brave accusations of “Lefebvrism” and say so.
","And we can’t drag the Church out of her present crisis until we have the courage to brave accusations of “Lefebvrism” and say so.
",0
12848,"Those who love our Holy Mother – those who want to protect her boys and men from all the McCarricks and their perverse appetites – mustn’t be deceived into thinking this is a small or an isolated issue.
",perverse,1
12849,"It isn’t.
","It isn’t.
",0
12850,"This is the crisis of an ancient and immortal institution trying desperately to seem young and fashionable; like all old men, it only manages to come across as lecherous and pathetic.
",lecherous and pathetic,1
12851,"Its obsession with “modernization” leads it to only adopt the vices of modernity.
","Its obsession with “modernization” leads it to only adopt the vices of modernity.
",0
12852,"Instead of serving as ambassadors from the City of God, far too many of our priests and prelates have become agents of the City of Man.
","Instead of serving as ambassadors from the City of God, far too many of our priests and prelates have become agents of the City of Man.
",0
